Comuna_Origen;Especialidad_Destino;Rango_Edad;Establecimiento_Destino;CIE-10;Observacion;Tipo_Especialidad
Algarrobo;Rehabilitación Oral Fija;Toda edad;Hospital Claudio Vicuña;Todos.;Derivar con Rx retroalverolar;Odontológica
Algarrobo;Rehabilitación Oral Removible;Toda edad;Hospital Claudio Vicuña;Todos.;;Odontológica
Algarrobo;Trastornos Temporomandibulares y Dolor Orofacial;Toda edad;Hospital Claudio Vicuña;Todos.;Posterior a teleinterconsulta Hospital Digital.;Odontológica
Algarrobo;Endodoncia;Toda edad;Mismo establecimiento APS (R);K04.9 Otras enfermedades no especificadas de pulpa y tejidos periapicales;Sólo para caso a resolver con cupos resolutividad APS.;Odontológica
Algarrobo;Periodoncia;Toda edad;Mismo establecimiento APS (R);K05.5 Otras enfermedades periodontales;Sólo para caso a resolver con cupos resolutividad APS.;Odontológica
Algarrobo;Rehabilitación Oral Removible;Toda edad;Mismo establecimiento APS (R);K08.8 Otros trastornos especificados de dientes y estructuras de soporte;Sólo para caso a resolver con cupos resolutividad APS.;Odontológica
Cartagena;Cirugía y Traumatología Buco Maxilofacial;Toda edad;Hospital Claudio Vicuña;Todos.;;Odontológica
Cartagena;Endodoncia;Toda edad;Hospital Claudio Vicuña;Todos. Excepto: K04.9.;;Odontológica
Cartagena;Patología Oral;Toda edad;Hospital Carlos Van Buren;C06.9 Tumor maligno de la boca, parte no especificada.;Con biopsia confirmada o evidente signos clínicos de malignidad.;Odontológica
Cartagena;Patología Oral;Toda edad;Hospital Carlos Van Buren;C14.8 Lesion de sitios contiguos del labio, de la cavidad bucal y de faringe.;Posterior a teleinterconsulta Hospital Digital.;Odontológica
Cartagena;Periodoncia;Toda edad;Hospital Claudio Vicuña;Todos. Excepto: K05.5 y Z75;;Odontológica
Cartagena;Rehabilitación Oral Fija;Toda edad;Hospital Claudio Vicuña;Todos.;Derivar con Rx retroalverolar;Odontológica
Cartagena;Rehabilitación Oral Removible;Toda edad;Hospital Claudio Vicuña;Todos.;;Odontológica
Cartagena;Trastornos Temporomandibulares y Dolor Orofacial;Toda edad;Hospital Claudio Vicuña;Todos.;Posterior a teleinterconsulta Hospital Digital.;Odontológica
Cartagena;Endodoncia;Toda edad;Mismo establecimiento APS (R);K04.9 Otras enfermedades no especificadas de pulpa y tejidos periapicales;Sólo para caso a resolver con cupos resolutividad APS.;Odontológica
Cartagena;Periodoncia;Toda edad;Mismo establecimiento APS (R);K05.5 Otras enfermedades periodontales;Sólo para caso a resolver con cupos resolutividad APS.;Odontológica
Cartagena;Rehabilitación Oral Removible;Toda edad;Mismo establecimiento APS (R);K08.8 Otros trastornos especificados de dientes y estructuras de soporte;Sólo para caso a resolver con cupos resolutividad APS.;Odontológica
El Quisco;Cirugía y Traumatología Buco Maxilofacial;Toda edad;Hospital Claudio Vicuña;Todos.;;Odontológica
El Quisco;Endodoncia;Toda edad;Hospital Claudio Vicuña;Todos. Excepto: K04.9.;;Odontológica
El Quisco;Patología Oral;Toda edad;Hospital Carlos Van Buren;C06.9 Tumor maligno de la boca, parte no especificada.;Con biopsia confirmada o evidente signos clínicos de malignidad.;Odontológica
El Quisco;Patología Oral;Toda edad;Hospital Carlos Van Buren;C14.8 Lesion de sitios contiguos del labio, de la cavidad bucal y de faringe.;Posterior a teleinterconsulta Hospital Digital.;Odontológica
El Quisco;Periodoncia;Toda edad;Hospital Claudio Vicuña;Todos. Excepto: K05.5 y Z75;;Odontológica
El Quisco;Rehabilitación Oral Fija;Toda edad;Hospital Claudio Vicuña;Todos.;Derivar con Rx retroalverolar;Odontológica
El Quisco;Rehabilitación Oral Removible;Toda edad;Hospital Claudio Vicuña;Todos.;;Odontológica
El Quisco;Trastornos Temporomandibulares y Dolor Orofacial;Toda edad;Hospital Claudio Vicuña;Todos.;Posterior a teleinterconsulta Hospital Digital.;Odontológica
El Quisco;Endodoncia;Toda edad;Mismo establecimiento APS (R);K04.9 Otras enfermedades no especificadas de pulpa y tejidos periapicales;Sólo para caso a resolver con cupos resolutividad APS.;Odontológica
El Quisco;Periodoncia;Toda edad;Mismo establecimiento APS (R);K05.5 Otras enfermedades periodontales;Sólo para caso a resolver con cupos resolutividad APS.;Odontológica
El Quisco;Rehabilitación Oral Removible;Toda edad;Mismo establecimiento APS (R);K08.8 Otros trastornos especificados de dientes y estructuras de soporte;Sólo para caso a resolver con cupos resolutividad APS.;Odontológica
